n,t,y
1000,0.9500000000,0.8914777106
1000,0.9550000000,0.8899287375
1000,0.9600000000,0.8883671376
1000,0.9650000000,0.8867929018
1000,0.9700000000,0.8852060217
1000,0.9750000000,0.8836064892
1000,0.9800000000,0.8819942971
1000,0.9850000000,0.8803694383
1000,0.9900000000,0.8787319067
1000,0.9950000000,0.8770816965
1000,1.0000000000,0.8754188024
1000,1.0050000000,0.8737432200
1000,1.0100000000,0.8720549449
1000,1.0150000000,0.8703539738
1000,1.0200000000,0.8686403036
1000,1.0250000000,0.8669139318
1000,1.0300000000,0.8651748566
1000,1.0350000000,0.8634230766
1000,1.0400000000,0.8616585908
1000,1.0450000000,0.8598813992
1000,1.0500000000,0.8580915018
1000,1.0550000000,0.8562888995
1000,1.0600000000,0.8544735937
1000,1.0650000000,0.8526455861
1000,1.0700000000,0.8508048793
1000,1.0750000000,0.8489514760
1000,1.0800000000,0.8470853798
1000,1.0850000000,0.8452065948
1000,1.0900000000,0.8433151253
1000,1.0950000000,0.8414109765
1000,1.1000000000,0.8394941540
1000,1.1050000000,0.8375646638
1000,1.1100000000,0.8356225127
1000,1.1150000000,0.8336677077
1000,1.1200000000,0.8317002566
1000,1.1250000000,0.8297201675
1000,1.1300000000,0.8277274492
1000,1.1350000000,0.8257221110
1000,1.1400000000,0.8237041627
1000,1.1450000000,0.8216736144
1000,1.1500000000,0.8196304770
1000,1.1550000000,0.8175747618
1000,1.1600000000,0.8155064806
1000,1.1650000000,0.8134256459
1000,1.1700000000,0.8113322704
1000,1.1750000000,0.8092263674
1000,1.1800000000,0.8071079510
1000,1.1850000000,0.8049770353
1000,1.1900000000,0.8028336354
1000,1.1950000000,0.8006777666
1000,1.2000000000,0.7985094448
1000,1.2050000000,0.7963286863
1000,1.2100000000,0.7941355081
1000,1.2150000000,0.7919299276
1000,1.2200000000,0.7897119626
1000,1.2250000000,0.7874816315
1000,1.2300000000,0.7852389532
1000,1.2350000000,0.7829839471
1000,1.2400000000,0.7807166330
1000,1.2450000000,0.7784370312
1000,1.2500000000,0.7761451627
1000,1.2550000000,0.7738410487
1000,1.2600000000,0.7715247111
1000,1.2650000000,0.7691961720
1000,1.2700000000,0.7668554544
1000,1.2750000000,0.7645025815
1000,1.2800000000,0.7621375771
1000,1.2850000000,0.7597604652
1000,1.2900000000,0.7573712707
1000,1.2950000000,0.7549700187
1000,1.3000000000,0.7525567349
1000,1.3050000000,0.7501314454
1000,1.3100000000,0.7476941767
1000,1.3150000000,0.7452449560
1000,1.3200000000,0.7427838108
1000,1.3250000000,0.7403107690
1000,1.3300000000,0.7378258591
1000,1.3350000000,0.7353291101
1000,1.3400000000,0.7328205513
1000,1.3450000000,0.7303002126
1000,1.3500000000,0.7277681242
1000,1.3550000000,0.7252243170
1000,1.3600000000,0.7226688222
1000,1.3650000000,0.7201016714
1000,1.3700000000,0.7175228968
1000,1.3750000000,0.7149325309
1000,1.3800000000,0.7123306068
1000,1.3850000000,0.7097171579
1000,1.3900000000,0.7070922182
1000,1.3950000000,0.7044558220
1000,1.4000000000,0.7018080041
1000,1.4050000000,0.6991487998
1000,1.4100000000,0.6964782448
1000,1.4150000000,0.6937963751
1000,1.4200000000,0.6911032274
1000,1.4250000000,0.6883988386
1000,1.4300000000,0.6856832462
1000,1.4350000000,0.6829564880
1000,1.4400000000,0.6802186023
1000,1.4450000000,0.6774696278
1000,1.4500000000,0.6747096037
1000,1.4550000000,0.6719385696
1000,1.4600000000,0.6691565653
1000,1.4650000000,0.6663636314
1000,1.4700000000,0.6635598086
1000,1.4750000000,0.6607451382
1000,1.4800000000,0.6579196619
1000,1.4850000000,0.6550834217
1000,1.4900000000,0.6522364601
1000,1.4950000000,0.6493788201
1000,1.5000000000,0.6465105448
1000,1.5050000000,0.6436316781
1000,1.5100000000,0.6407422641
1000,1.5150000000,0.6378423471
1000,1.5200000000,0.6349319723
1000,1.5250000000,0.6320111849
1000,1.5300000000,0.6290800305
1000,1.5350000000,0.6261385554
1000,1.5400000000,0.6231868061
1000,1.5450000000,0.6202248293
1000,1.5500000000,0.6172526725
1000,1.5550000000,0.6142703833
1000,1.5600000000,0.6112780097
1000,1.5650000000,0.6082756003
1000,1.5700000000,0.6052632037
1000,1.5750000000,0.6022408694
1000,1.5800000000,0.5992086467
1000,1.5850000000,0.5961665858
1000,1.5900000000,0.5931147369
1000,1.5950000000,0.5900531507
1000,1.6000000000,0.5869818784
1000,1.6050000000,0.5839009714
1000,1.6100000000,0.5808104815
1000,1.6150000000,0.5777104610
1000,1.6200000000,0.5746009623
1000,1.6250000000,0.5714820383
1000,1.6300000000,0.5683537425
1000,1.6350000000,0.5652161283
1000,1.6400000000,0.5620692498
1000,1.6450000000,0.5589131613
1000,1.6500000000,0.5557479175
1000,1.6550000000,0.5525735735
1000,1.6600000000,0.5493901846
1000,1.6650000000,0.5461978066
1000,1.6700000000,0.5429964955
1000,1.6750000000,0.5397863079
1000,1.6800000000,0.5365673004
1000,1.6850000000,0.5333395301
1000,1.6900000000,0.5301030545
1000,1.6950000000,0.5268579314
1000,1.7000000000,0.5236042188
1000,1.7050000000,0.5203419753
1000,1.7100000000,0.5170712595
1000,1.7150000000,0.5137921305
1000,1.7200000000,0.5105046478
1000,1.7250000000,0.5072088710
1000,1.7300000000,0.5039048603
1000,1.7350000000,0.5005926760
1000,1.7400000000,0.4972723788
1000,1.7450000000,0.4939440297
1000,1.7500000000,0.4906076899
1000,1.7550000000,0.4872634212
1000,1.7600000000,0.4839112854
1000,1.7650000000,0.4805513448
1000,1.7700000000,0.4771836619
1000,1.7750000000,0.4738082995
1000,1.7800000000,0.4704253208
1000,1.7850000000,0.4670347892
1000,1.7900000000,0.4636367684
1000,1.7950000000,0.4602313224
1000,1.8000000000,0.4568185156
1000,1.8050000000,0.4533984126
1000,1.8100000000,0.4499710782
1000,1.8150000000,0.4465365775
1000,1.8200000000,0.4430949761
1000,1.8250000000,0.4396463397
1000,1.8300000000,0.4361907342
1000,1.8350000000,0.4327282260
1000,1.8400000000,0.4292588816
1000,1.8450000000,0.4257827678
1000,1.8500000000,0.4222999518
1000,1.8550000000,0.4188105008
1000,1.8600000000,0.4153144825
1000,1.8650000000,0.4118119648
1000,1.8700000000,0.4083030158
1000,1.8750000000,0.4047877039
1000,1.8800000000,0.4012660979
1000,1.8850000000,0.3977382665
1000,1.8900000000,0.3942042791
1000,1.8950000000,0.3906642049
1000,1.9000000000,0.3871181136
1000,1.9050000000,0.3835660752
1000,1.9100000000,0.3800081598
1000,1.9150000000,0.3764444378
1000,1.9200000000,0.3728749798
1000,1.9250000000,0.3692998566
1000,1.9300000000,0.3657191394
1000,1.9350000000,0.3621328995
1000,1.9400000000,0.3585412084
1000,1.9450000000,0.3549441380
1000,1.9500000000,0.3513417602
1000,1.9550000000,0.3477341472
1000,1.9600000000,0.3441213716
1000,1.9650000000,0.3405035059
1000,1.9700000000,0.3368806231
1000,1.9750000000,0.3332527962
1000,1.9800000000,0.3296200986
1000,1.9850000000,0.3259826037
1000,1.9900000000,0.3223403853
1000,1.9950000000,0.3186935174
1000,2.0000000000,0.3150420739
1000,2.0050000000,0.3113861294
1000,2.0100000000,0.3077257582
1000,2.0150000000,0.3040610352
1000,2.0200000000,0.3003920351
1000,2.0250000000,0.2967188332
1000,2.0300000000,0.2930415047
1000,2.0350000000,0.2893601251
1000,2.0400000000,0.2856747701
1000,2.0450000000,0.2819855154
1000,2.0500000000,0.2782924372
1000,2.0550000000,0.2745956115
1000,2.0600000000,0.2708951149
1000,2.0650000000,0.2671910237
1000,2.0700000000,0.2634834148
1000,2.0750000000,0.2597723650
1000,2.0800000000,0.2560579514
1000,2.0850000000,0.2523402511
1000,2.0900000000,0.2486193416
1000,2.0950000000,0.2448953003
1000,2.1000000000,0.2411682050
1000,2.1050000000,0.2374381334
1000,2.1100000000,0.2337051637
1000,2.1150000000,0.2299693738
1000,2.1200000000,0.2262308421
1000,2.1250000000,0.2224896470
1000,2.1300000000,0.2187458671
1000,2.1350000000,0.2149995811
1000,2.1400000000,0.2112508678
1000,2.1450000000,0.2074998062
1000,2.1500000000,0.2037464754
1000,2.1550000000,0.1999909547
1000,2.1600000000,0.1962333234
1000,2.1650000000,0.1924736611
1000,2.1700000000,0.1887120473
1000,2.1750000000,0.1849485618
1000,2.1800000000,0.1811832844
1000,2.1850000000,0.1774162951
1000,2.1900000000,0.1736476740
1000,2.1950000000,0.1698775013
1000,2.2000000000,0.1661058573
1000,2.2050000000,0.1623328225
1000,2.2100000000,0.1585584772
1000,2.2150000000,0.1547829022
1000,2.2200000000,0.1510061782
1000,2.2250000000,0.1472283860
1000,2.2300000000,0.1434496064
1000,2.2350000000,0.1396699205
1000,2.2400000000,0.1358894095
1000,2.2450000000,0.1321081544
1000,2.2500000000,0.1283262365
1000,2.2550000000,0.1245437372
1000,2.2600000000,0.1207607379
1000,2.2650000000,0.1169773201
1000,2.2700000000,0.1131935655
1000,2.2750000000,0.1094095555
1000,2.2800000000,0.1056253721
1000,2.2850000000,0.1018410969
1000,2.2900000000,0.0980568119
1000,2.2950000000,0.0942725990
1000,2.3000000000,0.0904885400
1000,2.3050000000,0.0867047172
1000,2.3100000000,0.0829212126
1000,2.3150000000,0.0791381084
1000,2.3200000000,0.0753554867
1000,2.3250000000,0.0715734299
1000,2.3300000000,0.0677920202
1000,2.3350000000,0.0640113400
1000,2.3400000000,0.0602314717
1000,2.3450000000,0.0564524977
1000,2.3500000000,0.0526745005
1000,2.3550000000,0.0488975626
1000,2.3600000000,0.0451217666
1000,2.3650000000,0.0413471950
1000,2.3700000000,0.0375739304
1000,2.3750000000,0.0338020554
1000,2.3800000000,0.0300316528
1000,2.3850000000,0.0262628051
1000,2.3900000000,0.0224955951
1000,2.3950000000,0.0187301055
1000,2.4000000000,0.0149664190
1000,2.4050000000,0.0112046184
1000,2.4100000000,0.0074447863
1000,2.4150000000,0.0036870055
1000,2.4200000000,-0.0000686412
1000,2.4250000000,-0.0038220710
1000,2.4300000000,-0.0075732012
1000,2.4350000000,-0.0113219490
1000,2.4400000000,-0.0150682317
1000,2.4450000000,-0.0188119666
1000,2.4500000000,-0.0225530708
1000,2.4550000000,-0.0262914618
1000,2.4600000000,-0.0300270566
1000,2.4650000000,-0.0337597728
1000,2.4700000000,-0.0374895275
1000,2.4750000000,-0.0412162381
1000,2.4800000000,-0.0449398221
1000,2.4850000000,-0.0486601967
1000,2.4900000000,-0.0523772794
1000,2.4950000000,-0.0560909877
1000,2.5000000000,-0.0598012390
1000,2.5050000000,-0.0635079509
1000,2.5100000000,-0.0672110409
1000,2.5150000000,-0.0709104266
1000,2.5200000000,-0.0746060257
1000,2.5250000000,-0.0782977557
1000,2.5300000000,-0.0819855345
1000,2.5350000000,-0.0856692798
1000,2.5400000000,-0.0893489095
1000,2.5450000000,-0.0930243414
1000,2.5500000000,-0.0966954935
1000,2.5550000000,-0.1003622837
1000,2.5600000000,-0.1040246301
1000,2.5650000000,-0.1076824508
1000,2.5700000000,-0.1113356641
1000,2.5750000000,-0.1149841880
1000,2.5800000000,-0.1186279411
1000,2.5850000000,-0.1222668416
1000,2.5900000000,-0.1259008080
1000,2.5950000000,-0.1295297589
1000,2.6000000000,-0.1331536128
1000,2.6050000000,-0.1367722885
1000,2.6100000000,-0.1403857048
1000,2.6150000000,-0.1439937804
1000,2.6200000000,-0.1475964345
1000,2.6250000000,-0.1511935859
1000,2.6300000000,-0.1547851539
1000,2.6350000000,-0.1583710576
1000,2.6400000000,-0.1619512165
1000,2.6450000000,-0.1655255498
1000,2.6500000000,-0.1690939772
1000,2.6550000000,-0.1726564183
1000,2.6600000000,-0.1762127928
1000,2.6650000000,-0.1797630206
1000,2.6700000000,-0.1833070216
1000,2.6750000000,-0.1868447158
1000,2.6800000000,-0.1903760235
1000,2.6850000000,-0.1939008649
1000,2.6900000000,-0.1974191604
1000,2.6950000000,-0.2009308307
1000,2.7000000000,-0.2044357963
1000,2.7050000000,-0.2079339780
1000,2.7100000000,-0.2114252968
1000,2.7150000000,-0.2149096736
1000,2.7200000000,-0.2183870297
1000,2.7250000000,-0.2218572864
1000,2.7300000000,-0.2253203650
1000,2.7350000000,-0.2287761873
1000,2.7400000000,-0.2322246748
1000,2.7450000000,-0.2356657496
1000,2.7500000000,-0.2390993334
1000,2.7550000000,-0.2425253487
1000,2.7600000000,-0.2459437175
1000,2.7650000000,-0.2493543625
1000,2.7700000000,-0.2527572062
1000,2.7750000000,-0.2561521713
1000,2.7800000000,-0.2595391809
1000,2.7850000000,-0.2629181579
1000,2.7900000000,-0.2662890256
1000,2.7950000000,-0.2696517075
1000,2.8000000000,-0.2730061271
1000,2.8050000000,-0.2763522082
1000,2.8100000000,-0.2796898747
1000,2.8150000000,-0.2830190506
1000,2.8200000000,-0.2863396602
1000,2.8250000000,-0.2896516280
1000,2.8300000000,-0.2929548786
1000,2.8350000000,-0.2962493367
1000,2.8400000000,-0.2995349274
1000,2.8450000000,-0.3028115759
1000,2.8500000000,-0.3060792074
1000,2.8550000000,-0.3093377475
1000,2.8600000000,-0.3125871221
1000,2.8650000000,-0.3158272568
1000,2.8700000000,-0.3190580780
1000,2.8750000000,-0.3222795120
1000,2.8800000000,-0.3254914851
1000,2.8850000000,-0.3286939243
1000,2.8900000000,-0.3318867563
1000,2.8950000000,-0.3350699083
1000,2.9000000000,-0.3382433077
1000,2.9050000000,-0.3414068820
1000,2.9100000000,-0.3445605590
1000,2.9150000000,-0.3477042665
1000,2.9200000000,-0.3508379329
1000,2.9250000000,-0.3539614865
1000,2.9300000000,-0.3570748559
1000,2.9350000000,-0.3601779699
1000,2.9400000000,-0.3632707577
1000,2.9450000000,-0.3663531486
1000,2.9500000000,-0.3694250719
1000,2.9550000000,-0.3724864576
1000,2.9600000000,-0.3755372355
1000,2.9650000000,-0.3785773359
1000,2.9700000000,-0.3816066892
1000,2.9750000000,-0.3846252261
1000,2.9800000000,-0.3876328775
1000,2.9850000000,-0.3906295746
1000,2.9900000000,-0.3936152487
1000,2.9950000000,-0.3965898316
1000,3.0000000000,-0.3995532551
1000,3.0050000000,-0.4025054513
1000,3.0100000000,-0.4054463526
1000,3.0150000000,-0.4083758917
1000,3.0200000000,-0.4112940015
1000,3.0250000000,-0.4142006150
1000,3.0300000000,-0.4170956658
1000,3.0350000000,-0.4199790875
1000,3.0400000000,-0.4228508140
1000,3.0450000000,-0.4257107794
1000,3.0500000000,-0.4285589183
1000,3.0550000000,-0.4313951653
1000,3.0600000000,-0.4342194555
1000,3.0650000000,-0.4370317240
1000,3.0700000000,-0.4398319065
1000,3.0750000000,-0.4426199387
1000,3.0800000000,-0.4453957566
1000,3.0850000000,-0.4481592967
1000,3.0900000000,-0.4509104955
1000,3.0950000000,-0.4536492900
1000,3.1000000000,-0.4563756174
1000,3.1050000000,-0.4590894150
1000,3.1100000000,-0.4617906208
1000,3.1150000000,-0.4644791726
1000,3.1200000000,-0.4671550090
1000,3.1250000000,-0.4698180683
1000,3.1300000000,-0.4724682897
1000,3.1350000000,-0.4751056123
1000,3.1400000000,-0.4777299756
1000,3.1450000000,-0.4803413194
1000,3.1500000000,-0.4829395838
1000,3.1550000000,-0.4855247091
1000,3.1600000000,-0.4880966362
1000,3.1650000000,-0.4906553060
1000,3.1700000000,-0.4932006597
1000,3.1750000000,-0.4957326391
1000,3.1800000000,-0.4982511861
1000,3.1850000000,-0.5007562428
1000,3.1900000000,-0.5032477518
1000,3.1950000000,-0.5057256560
1000,3.2000000000,-0.5081898986
1000,3.2050000000,-0.5106404230
1000,3.2100000000,-0.5130771730
1000,3.2150000000,-0.5155000928
1000,3.2200000000,-0.5179091268
1000,3.2250000000,-0.5203042197
1000,3.2300000000,-0.5226853167
1000,3.2350000000,-0.5250523632
1000,3.2400000000,-0.5274053049
1000,3.2450000000,-0.5297440879
1000,3.2500000000,-0.5320686586
1000,3.2550000000,-0.5343789637
1000,3.2600000000,-0.5366749502
1000,3.2650000000,-0.5389565657
1000,3.2700000000,-0.5412237577
1000,3.2750000000,-0.5434764744
1000,3.2800000000,-0.5457146642
1000,3.2850000000,-0.5479382758
1000,3.2900000000,-0.5501472583
1000,3.2950000000,-0.5523415611
1000,3.3000000000,-0.5545211341
1000,3.3050000000,-0.5566859273
1000,3.3100000000,-0.5588358911
1000,3.3150000000,-0.5609709765
1000,3.3200000000,-0.5630911346
1000,3.3250000000,-0.5651963168
1000,3.3300000000,-0.5672864750
1000,3.3350000000,-0.5693615615
1000,3.3400000000,-0.5714215289
1000,3.3450000000,-0.5734663299
1000,3.3500000000,-0.5754959181
1000,3.3550000000,-0.5775102469
1000,3.3600000000,-0.5795092704
1000,3.3650000000,-0.5814929429
1000,3.3700000000,-0.5834612192
1000,3.3750000000,-0.5854140543
1000,3.3800000000,-0.5873514038
1000,3.3850000000,-0.5892732234
1000,3.3900000000,-0.5911794693
1000,3.3950000000,-0.5930700980
1000,3.4000000000,-0.5949450666
1000,3.4050000000,-0.5968043322
1000,3.4100000000,-0.5986478526
1000,3.4150000000,-0.6004755857
1000,3.4200000000,-0.6022874901
1000,3.4250000000,-0.6040835244
1000,3.4300000000,-0.6058636479
1000,3.4350000000,-0.6076278201
1000,3.4400000000,-0.6093760009
1000,3.4450000000,-0.6111081506
1000,3.4500000000,-0.6128242298
1000,3.4550000000,-0.6145241998
